,Algorithm,u,n,d,rho,mean,cov,r,run,error
166,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,41,0.41570524650343615
167,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,41,0.22339790448038452
168,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,42,0.46581925473636704
169,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,42,0.4163726525074841
170,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,42,0.416659432540782
171,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,42,0.23295169141345223
172,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,43,0.4910287695612606
173,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,43,0.39901191734697544
174,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,43,0.4320682649952913
175,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,43,0.23158092162822974
176,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,44,0.48158115290567094
177,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,44,0.42004601822380655
178,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,44,0.4310736260844194
179,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,44,0.22206304742580177
180,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,45,0.5024104553830905
181,PLAN-NOSCALE,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,45,0.4299957045541139
182,Instance optimal,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,45,0.42486034915115883
183,Empirical mean (non-private),"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,45,0.23813228516752943
184,PLAN-E-ULTIMATE++,"(-25600.0, 25600.0)",10000,512,0.0625,10,STRATEGY_ZIPF_SKEWED,0.0,46,0.4855300673338789
